hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae07a9,2026-06-01 01:15:08.523305,UNK C/S,59-1515,2475,23400,21.141724,-158.646622,KC-135R Stratotanker,277,341,1474,False,mlat
ae1177,2026-06-01 01:15:08.523345,TREK309,02-1105,Unavailable,40000,53.621521,-132.155746,C-17A Globemaster,330,465,,False,adsb_icao
ae0377,2026-06-01 01:15:08.523361,UNK C/S,62-3502,1635,25000,45.069725,-122.848923,KC-135R Stratotanker,161,457,0,False,mlat
06a255,2026-06-01 01:15:08.523371,LHOB283,A7-MAC,2662,33000,54.556458,-111.273972,C-17A Globemaster,58,448,-64,False,adsb_icao
06a256,2026-06-01 01:15:08.523377,LHOB281,A7-MAE,7020,33000,54.816147,-110.513725,C-17A Globemaster,59,464,,False,adsb_icao
ae2fa6,2026-06-01 01:15:08.523384,RCH661,08-8194,1545,33000,50.356483,-100.451118,C-17A Globemaster,86,417,0,False,mlat
ae01c3,2026-06-01 01:15:08.523391,OLIVE32,64-14848,2661,3075,41.156322,-96.170448,RC-135 Rivet Joint,304,208,128,False,adsb_icao
c2b3ff,2026-06-01 01:15:08.523402,CFC4046,177705,3625,34000,45.548721,-73.381569,C-17A Globemaster,267,399,64,False,adsb_icao
ae015e,2026-06-01 01:15:08.523407,UNK C/S,59-1512,2505,27500,45.743626,-66.709518,KC-135R Stratotanker,241,450,-993,False,mlat
ae144d,2026-06-01 01:15:08.523412,RCH570,05-5143,2434,30975,49.291718,-57.492298,C-17A Globemaster,53,443,-128,False,adsb_icao
ae07d8,2026-06-01 01:15:08.523416,RCH271,92-3294,1402,19625,48.483875,-56.734119,C-17A Globemaster,65,406,-2048,False,adsb_icao
ae4f12,2026-06-01 01:15:08.523421,MOOSE47,10-0218,3112,14150,50.122162,7.780193,C-17A Globemaster,275,358,-1995,False,mlat
ae0584,2026-06-01 01:15:08.523426,RCH1821,87-0039,6436,33000,49.807766,12.319582,C-5M Galaxy,87,494,64,False,mlat
ae0577,2026-06-01 01:15:08.523431,RCH5023,86-0026,2661,36000,47.081684,20.914883,C-5M Galaxy,314,390,0,False,mlat
ae0363,2026-06-01 01:15:08.523435,UNK C/S,60-0341,7353,30000,39.757359,22.217134,KC-135R Stratotanker,35,392,-32,False,mlat
ae04be,2026-06-01 01:15:08.523439,UNK C/S,58-0106,7016,36025,41.139942,23.621078,KC-135R Stratotanker,18,435,-75,False,mlat
ae07b4,2026-06-01 01:15:08.523446,UNK C/S,62-3498,5336,16150,31.948002,34.170586,KC-135R Stratotanker,155,384,1600,False,mlat
ae0582,2026-06-01 01:15:08.523459,RCH2045,87-0037,Unavailable,34000,35.0,140.7,C-5M Galaxy,342,456,-160,False,mode_s
ae5fac,2026-06-01 01:15:08.523464,UNK C/S,19-46065,0720,24500,24.6,56.0,KC-46A Pegasus,236,376,0,False,mode_s
ae2faa,2026-06-01 01:15:08.523469,RCH045,08-8198,0106,36000,-9.4,-78.8,C-17A Globemaster,,,,False,mode_s
ae0422,2026-06-01 01:15:08.523474,UNK C/S,59-1499,0760,36000,52.2,-54.9,KC-135R Stratotanker,,,,False,mode_s
ae117d,2026-06-01 01:15:08.523479,RCH190,02-1111,2227,Unavailable,65.0,-54.0,C-17A Globemaster,,,,False,mode_s
ae5fa1,2026-06-01 01:15:08.523484,UNK C/S,18-46054,5172,26275,33.2,35.1,KC-46A Pegasus,,,,False,mode_s
ae49c3,2026-06-01 01:15:08.523489,RCH436,09-9207,1441,16125,26.4,49.7,C-17A Globemaster,,,,False,mode_s
ae5fa5,2026-06-01 01:15:08.523493,UNK C/S,21-46058,0712,26500,24.5,55.1,KC-46A Pegasus,,,,False,mode_s
ae04e0,2026-06-01 01:15:08.523497,UNK C/S,58-0109,2477,35975,22.0,-155.3,KC-135R Stratotanker,,,,False,mode_s
ae146d,2026-06-01 01:15:08.523502,MOOSE71,07-7175,0542,34000,31.5,32.5,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-06-01 01:16:08.799412,UNK C/S,59-1515,0511,24400,21.14517,-158.73967,KC-135R Stratotanker,272,279,903,False,mlat
ae1177,2026-06-01 01:16:08.799426,TREK309,02-1105,Unavailable,40000,53.765137,-132.292999,C-17A Globemaster,330,467,,False,adsb_icao
ae0377,2026-06-01 01:16:08.799434,UNK C/S,62-3502,1635,25000,44.943096,-122.798286,KC-135R Stratotanker,165,459,0,False,mlat
06a255,2026-06-01 01:16:08.799442,LHOB283,A7-MAC,2662,33000,54.6203,-111.090088,C-17A Globemaster,59,447,0,False,adsb_icao
06a256,2026-06-01 01:16:08.799447,LHOB281,A7-MAE,7020,33000,54.881317,-110.319794,C-17A Globemaster,59,464,,False,adsb_icao
ae2fa6,2026-06-01 01:16:08.799454,RCH661,08-8194,1545,33000,50.364948,-100.261978,C-17A Globemaster,86,433,0,False,mlat
ae01c3,2026-06-01 01:16:08.799462,OLIVE32,64-14848,2661,3075,41.204224,-96.183228,RC-135 Rivet Joint,30,206,-64,False,adsb_icao
c2b3ff,2026-06-01 01:16:08.799474,CFC4046,177705,3625,34000,45.544098,-73.541039,C-17A Globemaster,267,401,64,False,adsb_icao
ae015e,2026-06-01 01:16:08.799479,UNK C/S,59-1512,2505,26500,45.68819,-66.85453,KC-135R Stratotanker,242,432,-991,False,mlat
ae144d,2026-06-01 01:16:08.799485,RCH570,05-5143,2434,30975,49.362808,-57.342648,C-17A Globemaster,54,443,96,False,adsb_icao
ae07d8,2026-06-01 01:16:08.799490,RCH271,92-3294,1402,18625,48.506126,-56.661625,C-17A Globemaster,65,394,-2240,False,adsb_icao
ae4f12,2026-06-01 01:16:08.799495,MOOSE47,10-0218,3112,12450,50.126942,7.62927,C-17A Globemaster,273,322,-1353,False,mlat
ae0584,2026-06-01 01:16:08.799500,RCH1821,87-0039,6436,33000,49.796921,12.530617,C-5M Galaxy,105,488,0,False,mlat
ae0577,2026-06-01 01:16:08.799505,RCH5023,86-0026,2661,36000,47.161167,20.79648,C-5M Galaxy,314,390,-128,False,mlat
ae0363,2026-06-01 01:16:08.799510,UNK C/S,60-0341,7353,30000,39.826336,22.281631,KC-135R Stratotanker,35,392,0,False,mlat
ae04be,2026-06-01 01:16:08.799514,UNK C/S,58-0106,7016,36000,41.259529,23.675932,KC-135R Stratotanker,17,421,62,False,mlat
ae07b4,2026-06-01 01:16:08.799519,UNK C/S,62-3498,5336,18200,31.861078,34.257324,KC-135R Stratotanker,135,400,2176,False,mlat
ae5fac,2026-06-01 01:16:08.799528,UNK C/S,19-46065,0720,24500,24.6,55.8,KC-46A Pegasus,236,380,0,False,mode_s
ae2faa,2026-06-01 01:16:08.799532,RCH045,08-8198,0106,36000,-9.4,-78.8,C-17A Globemaster,,,,False,mode_s
ae0422,2026-06-01 01:16:08.799538,UNK C/S,59-1499,0760,36000,52.2,-54.9,KC-135R Stratotanker,,,,False,mode_s
ae117d,2026-06-01 01:16:08.799543,RCH190,02-1111,2227,Unavailable,65.0,-54.0,C-17A Globemaster,,,,False,mode_s
ae5fa1,2026-06-01 01:16:08.799549,UNK C/S,18-46054,5172,25300,33.2,35.2,KC-46A Pegasus,,,,False,mode_s
ae49c3,2026-06-01 01:16:08.799555,RCH436,09-9207,1441,16150,26.4,49.7,C-17A Globemaster,,,,False,mode_s
ae5fa5,2026-06-01 01:16:08.799559,UNK C/S,21-46058,0712,26500,24.6,55.4,KC-46A Pegasus,,,,False,mode_s
ae04e0,2026-06-01 01:16:08.799563,UNK C/S,58-0109,2477,35975,22.0,-155.3,KC-135R Stratotanker,,,,False,mode_s
ae146d,2026-06-01 01:16:08.799569,MOOSE71,07-7175,0542,34000,31.5,32.5,C-17A Globemaster,,,,False,mode_s
ae1177,2026-06-01 01:17:08.994027,TREK309,02-1105,1107,40000,53.866341,-132.390427,C-17A Globemaster,330,464,,False,adsb_icao
ae0377,2026-06-01 01:17:08.994039,UNK C/S,62-3502,1635,25000,44.817783,-122.7528,KC-135R Stratotanker,165,469,-42,False,mlat
06a255,2026-06-01 01:17:08.994048,LHOB283,A7-MAC,2662,33000,54.683376,-110.906815,C-17A Globemaster,59,447,-128,False,adsb_icao
06a256,2026-06-01 01:17:08.994054,LHOB281,A7-MAE,7020,33000,54.945469,-110.127457,C-17A Globemaster,60,464,,False,adsb_icao
ae2fa6,2026-06-01 01:17:08.994060,RCH661,08-8194,1545,33000,50.373314,-100.071945,C-17A Globemaster,85,431,0,False,mlat
ae01c3,2026-06-01 01:17:08.994068,OLIVE32,64-14848,2661,3150,41.241669,-96.135925,RC-135 Rivet Joint,86,186,0,False,adsb_icao
c2b3ff,2026-06-01 01:17:08.994079,CFC4046,177705,3625,34000,45.539352,-73.699509,C-17A Globemaster,267,404,64,False,adsb_icao
ae015e,2026-06-01 01:17:08.994084,UNK C/S,59-1512,2505,25525,45.634136,-66.990494,KC-135R Stratotanker,241,440,-1000,False,mlat
ae4f12,2026-06-01 01:17:08.994091,MOOSE47,10-0218,3112,11025,50.133572,7.507183,C-17A Globemaster,273,289,-1497,False,mlat
ae0584,2026-06-01 01:17:08.994096,RCH1821,87-0039,6436,33000,49.755615,12.737261,C-5M Galaxy,107,490,32,False,mlat
ae0577,2026-06-01 01:17:08.994100,RCH5023,86-0026,2661,36000,47.237324,20.682373,C-5M Galaxy,314,388,0,False,mlat
ae0363,2026-06-01 01:17:08.994105,UNK C/S,60-0341,7353,30000,39.919655,22.367046,KC-135R Stratotanker,35,390,32,False,mlat
ae04be,2026-06-01 01:17:08.994109,UNK C/S,58-0106,7016,36025,41.379944,23.732624,KC-135R Stratotanker,19,392,75,False,mlat
ae07b4,2026-06-01 01:17:08.994115,UNK C/S,62-3498,5336,19950,31.781847,34.345791,KC-135R Stratotanker,135,414,320,False,mlat
ae0582,2026-06-01 01:17:08.994122,RCH2045,87-0037,Unavailable,Unavailable,35.0,140.5,C-5M Galaxy,,,,False,mode_s
ae5fac,2026-06-01 01:17:08.994128,UNK C/S,19-46065,0720,24500,24.5,56.1,KC-46A Pegasus,236,382,-32,False,mode_s
ae2faa,2026-06-01 01:17:08.994133,RCH045,08-8198,0106,36000,-9.4,-78.8,C-17A Globemaster,,,,False,mode_s
ae0422,2026-06-01 01:17:08.994137,UNK C/S,59-1499,0760,36000,52.2,-54.9,KC-135R Stratotanker,,,,False,mode_s
ae117d,2026-06-01 01:17:08.994143,RCH190,02-1111,2227,Unavailable,65.0,-54.0,C-17A Globemaster,,,,False,mode_s
ae144d,2026-06-01 01:17:08.994149,RCH570,05-5143,2434,Unavailable,47.6,-59.7,C-17A Globemaster,,,,False,mode_s
ae5fa1,2026-06-01 01:17:08.994153,UNK C/S,18-46054,5172,24300,31.6,33.1,KC-46A Pegasus,,,,False,mode_s
ae07a9,2026-06-01 01:17:08.994158,UNK C/S,59-1515,0511,26725,35.1,-118.1,KC-135R Stratotanker,,,,False,mode_s
ae49c3,2026-06-01 01:17:08.994162,RCH436,09-9207,1441,16150,26.4,49.7,C-17A Globemaster,,,,False,mode_s
ae5fa5,2026-06-01 01:17:08.994166,UNK C/S,21-46058,0712,26500,24.4,55.3,KC-46A Pegasus,,,,False,mode_s
ae04e0,2026-06-01 01:17:08.994171,UNK C/S,58-0109,2123,35975,22.0,-155.3,KC-135R Stratotanker,,,,False,mode_s
ae123a,2026-06-01 01:17:08.994175,RCH530,04-4128,5243,Unavailable,38.1,-74.7,C-17A Globemaster,,,,False,mode_s
ae146d,2026-06-01 01:17:08.994181,MOOSE71,07-7175,0542,34000,31.5,32.8,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-06-01 01:18:09.201733,UNK C/S,59-1515,2475,28125,21.152386,-158.968704,KC-135R Stratotanker,,,1144,False,mlat
ae1177,2026-06-01 01:18:09.201747,TREK309,02-1105,1107,40000,53.997246,-132.517578,C-17A Globemaster,,,,False,adsb_icao
ae0377,2026-06-01 01:18:09.201754,UNK C/S,62-3502,1635,25000,44.694668,-122.707596,KC-135R Stratotanker,166,462,7,False,mlat
