hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae144d,2026-06-27 01:37:19.458129,RCH849,05-5143,2113,2350,21.325041,-158.081757,C-17A Globemaster,91,161,-833,False,mlat
ae056d,2026-06-27 01:37:19.458158,RCH2108,86-0016,3370,32000,40.993477,-122.185966,C-5M Galaxy,360,395,0,False,mlat
ae10b6,2026-06-27 01:37:19.458165,SOUND28,01-0187,4650,14525,47.048069,-120.934784,C-17A Globemaster,272,382,-1665,False,mlat
ae07a9,2026-06-27 01:37:19.458173,UNK C/S,59-1515,6650,24025,45.405624,-118.861137,KC-135R Stratotanker,,,-66,False,mlat
ae0570,2026-06-27 01:37:19.458188,CHILI50,86-0019,2713,2925,29.533152,-98.666756,C-5M Galaxy,83,176,-74,False,mlat
0ac3c3,2026-06-27 01:37:19.458218,JUPITER,FAC1202,6677,37000,20.40501,-78.426849,KC-46A Pegasus,163,465,-64,False,adsb_icao
477ff3,2026-06-27 01:37:19.458225,BRK54,03,6013,34000,12.42293,-64.31517,C-17A Globemaster,235,445,,False,adsb_icao
800796,2026-06-27 01:37:19.458232,IFC0766,CB-8009,5303,5050,5.429764,-3.546955,C-17A Globemaster,274,288,-928,False,adsb_icao
43c174,2026-06-27 01:37:19.458237,RRR6245,ZZ174,5171,6875,51.647194,-1.989136,C-17A Globemaster,59,303,-1024,False,adsb_icao
33fe7a,2026-06-27 01:37:19.458242,GS1437,MM62226,Unavailable,36004,27.392693,6.640205,KC-46A Pegasus,13,477,0,False,adsc
ae20c5,2026-06-27 01:37:19.458246,RCH149,07-7184,3553,24200,49.935112,9.308303,C-17A Globemaster,271,408,-1031,False,mlat
ae20c6,2026-06-27 01:37:19.458249,RCH555,07-7185,6013,34000,48.160259,19.22216,C-17A Globemaster,305,460,0,False,mlat
ae1238,2026-06-27 01:37:19.458253,RCH864,03-3127,3274,34025,44.725983,25.601006,C-17A Globemaster,306,447,0,False,mlat
ae04de,2026-06-27 01:37:19.458258,UNK C/S,57-2597,7457,36000,31.799679,34.459713,KC-135R Stratotanker,313,470,0,False,mlat
ae574d,2026-06-27 01:37:19.458262,MOJO13,19-46007,0720,16025,25.115295,54.747532,KC-46A Pegasus,279,387,0,False,mlat
ae065c,2026-06-27 01:37:19.458266,UNK C/S,59-1507,0144,29550,24.564302,55.581322,KC-135R Stratotanker,38,430,-96,False,mlat
ae63bf,2026-06-27 01:37:19.458269,UNK C/S,20-46083,0724,18000,24.636654,57.810925,KC-46A Pegasus,,,-81,False,mlat
ae07fa,2026-06-27 01:37:19.458276,RCH844,97-0048,3310,30975,30.7,32.6,C-17A Globemaster,,,,False,mode_s
ae5fa5,2026-06-27 01:37:19.458282,UNK C/S,21-46058,0714,16500,26.6,55.0,KC-46A Pegasus,,,,False,mode_s
