hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae63c2,2026-06-22 01:36:44.867187,ADVIC44,21-46086,3001,19950,37.646976,-120.571747,KC-46A Pegasus,322,392,-1401,False,mlat
ae057c,2026-06-22 01:36:44.867213,RCH5099,87-0031,0514,21025,32.499611,-104.820549,C-5M Galaxy,241,395,-1852,False,mlat
ae144d,2026-06-22 01:36:44.867225,RCH4616,05-5143,2410,32000,43.500496,-87.898903,C-17A Globemaster,283,418,0,False,mlat
ae1170,2026-06-22 01:36:44.867231,RCH3272,02-1098,1156,39025,40.971848,-84.552582,C-17A Globemaster,91,521,52,False,mlat
ae0572,2026-06-22 01:36:44.867238,RCH1831,86-0021,7345,11525,37.711826,-75.67926,C-5M Galaxy,214,378,-512,False,adsb_icao
ae63c4,2026-06-22 01:36:44.867243,FREDM46,21-46088,5150,100,40.043179,-74.544594,KC-46A Pegasus,195,190,-558,False,mode_s
ae0818,2026-06-22 01:36:44.867248,RCH457,00-0182,2557,16025,40.241314,-73.162148,C-17A Globemaster,245,396,0,False,mlat
ae066f,2026-06-22 01:36:44.867252,OKIE63,62-3580,7077,24950,43.192783,-70.570328,KC-135R Stratotanker,38,466,0,False,mlat
ae07e7,2026-06-22 01:36:44.867256,RCH215,95-0104,0511,33000,54.957489,-5.600178,C-17A Globemaster,130,473,0,False,mlat
ae144f,2026-06-22 01:36:44.867259,RCH313,05-5145,2577,30000,54.862286,-3.441442,C-17A Globemaster,296,430,0,False,mlat
4d03c0,2026-06-22 01:36:44.867265,NATO22,LX-N90442,3707,29975,57.790089,23.078979,E-3G AWACS,68,408,32,False,other
ae0425,2026-06-22 01:36:44.867272,UNK C/S,60-0342,4622,33000,35.919464,134.509491,KC-135R Stratotanker,68,573,0,False,mlat
ae2fa7,2026-06-22 01:36:44.867276,RCH125,08-8195,3205,25075,35.434998,137.848175,C-17A Globemaster,222,400,424,False,mlat
ae05a0,2026-06-22 01:36:44.867286,UNK C/S,61-0298,0147,20000,23.2,55.3,KC-135R Stratotanker,59,400,0,False,mode_s
ae04ba,2026-06-22 01:36:44.867291,UNK C/S,58-0055,Unavailable,Unavailable,26.3,128.1,KC-135R Stratotanker,,,,False,mode_s
ae0689,2026-06-22 01:36:44.867297,UNK C/S,61-0300,7060,24500,23.7,56.0,KC-135R Stratotanker,225,464,0,False,mode_s
ae0391,2026-06-22 01:36:44.867302,UNK C/S,63-8039,3455,26500,23.5,55.6,KC-135R Stratotanker,158,398,32,False,mode_s
