hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae042b,2026-06-24 01:39:12.008052,HOKU61,63-8030,4261,25000,21.923161,-158.28624,KC-135R Stratotanker,,,-75,False,mlat
ae080e,2026-06-24 01:39:12.008079,SITKA32,99-0168,2304,3400,61.323761,-149.900604,C-17A Globemaster,329,268,1216,False,adsb_icao
ae0260,2026-06-24 01:39:12.008096,UNK C/S,61-0295,4547,25000,64.185356,-146.261322,KC-135R Stratotanker,109,573,-96,False,mlat
ae0503,2026-06-24 01:39:12.008113,UNK C/S,60-0336,7546,26800,37.200726,-116.672623,KC-135R Stratotanker,151,494,4,False,mlat
ae0380,2026-06-24 01:39:12.008144,UNK C/S,57-1454,5646,20000,41.051247,-88.698425,KC-135R Stratotanker,213,289,0,False,mlat
ae07f2,2026-06-24 01:39:12.008157,BOE14,96-0008,2301,35000,33.171341,-86.06514,C-17A Globemaster,99,488,0,False,adsb_icao
ae20c7,2026-06-24 01:39:12.008164,FAMUS13,07-7186,1444,37000,39.898727,-84.804718,C-17A Globemaster,86,520,0,False,adsb_icao
ae07fa,2026-06-24 01:39:12.008169,RHINO44,97-0048,6737,15850,40.04805,-84.767212,C-17A Globemaster,299,372,0,False,adsb_icao
ae49c4,2026-06-24 01:39:12.008177,MOOSE22,09-9208,5512,3700,33.061817,-80.121834,C-17A Globemaster,337,205,960,False,adsb_icao
adfeb9,2026-06-24 01:39:12.008182,SAM997,99-0003,1427,29200,39.275154,-79.587257,C-32 AIR FORCE TWO,91,508,-1345,False,mlat
c2b3ff,2026-06-24 01:39:12.008189,BISN19,177705,0234,9675,44.233238,-77.080681,C-17A Globemaster,285,250,-4416,False,adsb_icao
ae0146,2026-06-24 01:39:12.008196,UNK C/S,59-1482,2104,1975,43.202106,-75.284065,KC-135R Stratotanker,166,301,91,False,mlat
ae10bb,2026-06-24 01:39:12.008201,RCH573,01-0192,6210,31000,41.492409,-72.424995,C-17A Globemaster,48,535,0,False,mlat
ae4d67,2026-06-24 01:39:12.008206,RCH4611,10-0214,1360,32000,42.289158,-72.384369,C-17A Globemaster,215,381,0,False,mlat
ae1454,2026-06-24 01:39:12.008227,MANU12,05-5150,Unavailable,Unavailable,22.6,-157.2,C-17A Globemaster,,,,False,mode_s
ae0139,2026-06-24 01:39:12.008232,UNK C/S,63-8003,5447,26500,24.6,55.7,KC-135R Stratotanker,91,404,0,False,mode_s
ae058b,2026-06-24 01:39:12.008238,UNK C/S,57-1514,0151,18500,25.2,55.1,KC-135R Stratotanker,71,362,0,False,mode_s
ae11d6,2026-06-24 01:39:12.008243,UNK C/S,75-0556,3635,30975,24.1,55.1,E-3G AWACS,,,,False,mode_s
ae0804,2026-06-24 01:39:12.008248,RCH100,99-0058,2763,33000,-29.9,152.2,C-17A Globemaster,,,,False,mode_s
ae024d,2026-06-24 01:39:12.008253,UNK C/S,62-3506,0144,16525,25.4,54.9,KC-135R Stratotanker,,,,False,mode_s
ae0802,2026-06-24 01:39:12.008257,UNK C/S,98-0056,Unavailable,36000,55.1,-119.2,C-17A Globemaster,,,,False,mode_s
ae013a,2026-06-24 01:39:12.008261,UNK C/S,59-1488,3440,23025,23.4,54.4,KC-135R Stratotanker,60,416,64,False,mode_s
ae0489,2026-06-24 01:39:12.008265,UNK C/S,63-8007,0145,23975,24.1,55.3,KC-135R Stratotanker,,,,False,mode_s
ae5fa8,2026-06-24 01:39:12.008270,FLYER02,21-46061,3276,15025,25.5,58.4,KC-46A Pegasus,,,,False,mode_s
ae1236,2026-06-24 01:39:12.008273,RCH5070,03-3125,1345,32975,44.2,-63.1,C-17A Globemaster,,,,False,mode_s
ae042b,2026-06-24 01:40:12.387289,HOKU61,63-8030,4261,25000,22.020897,-158.393311,KC-135R Stratotanker,311,428,-95,False,mlat
ae080e,2026-06-24 01:40:12.387312,SITKA32,99-0168,2304,4850,61.399933,-149.887894,C-17A Globemaster,13,288,2176,False,adsb_icao
