hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae4f13,2026-06-20 01:14:10.244171,RCH864,10-0219,4115,2150,61.343216,-149.837326,C-17A Globemaster,13,262,2176,False,adsb_icao
ae4d69,2026-06-20 01:14:10.244193,RCH307,10-0216,7216,22800,61.824345,-148.049377,C-17A Globemaster,93,429,1236,False,mlat
ae2fae,2026-06-20 01:14:10.244209,RCH5058,08-8202,4164,35000,45.609608,-123.758522,C-17A Globemaster,169,443,0,False,mlat
ae1234,2026-06-20 01:14:10.244222,BANNR96,03-3123,1012,37000,36.689823,-108.403999,C-17A Globemaster,70,512,0,False,mlat
ae574f,2026-06-20 01:14:10.244230,E56009,15-46009,2755,24100,38.145161,-98.84391,KC-46A Pegasus,113,447,-770,False,mlat
ae1236,2026-06-20 01:14:10.244235,RCH4567,03-3125,6752,34975,38.555557,-97.696404,C-17A Globemaster,97,488,352,False,adsb_icao
adfeb9,2026-06-20 01:14:10.244241,VENUS62,99-0003,7241,36000,36.139526,-91.808945,C-32 AIR FORCE TWO,272,417,,False,adsb_icao
ae0592,2026-06-20 01:14:10.244249,UNK C/S,58-0103,7035,24000,39.186264,-77.538757,KC-135R Stratotanker,159,393,0,False,adsb_icao
ae1173,2026-06-20 01:14:10.244255,RCH3260,02-1101,2554,38000,47.055187,-73.683754,C-17A Globemaster,209,419,-32,False,adsb_icao
ae1459,2026-06-20 01:14:10.244260,RCH167,06-6155,2751,31000,41.891567,-68.79837,C-17A Globemaster,51,547,-128,False,adsb_icao
ae1449,2026-06-20 01:14:10.244265,RCH661,05-5139,2507,35975,55.478836,-6.269358,C-17A Globemaster,285,426,-128,False,mlat
ae0813,2026-06-20 01:14:10.244269,RCH4137,00-0177,1165,18500,50.684917,7.508365,C-17A Globemaster,162,388,-2112,False,mlat
ae07da,2026-06-20 01:14:10.244273,RCH404,93-0600,3716,36000,48.445984,18.619875,C-17A Globemaster,305,432,-128,False,adsb_icao
ae0808,2026-06-20 01:14:10.244277,MOOSE37,99-0062,4533,32000,44.841873,22.635174,C-17A Globemaster,338,414,0,False,mlat
ae035d,2026-06-20 01:14:10.244280,UNK C/S,58-0063,5344,3050,32.133205,34.646683,KC-135R Stratotanker,154,174,61,False,mlat
ae0149,2026-06-20 01:14:10.244284,UNK C/S,57-1468,3416,22500,25.555546,54.95805,KC-135R Stratotanker,95,400,32,False,mlat
ae0263,2026-06-20 01:14:10.244288,UNK C/S,61-0324,3620,27000,25.635914,55.924313,KC-135R Stratotanker,,,0,False,mlat
ae0693,2026-06-20 01:14:10.244292,UNK C/S,63-8004,0144,24500,25.421791,56.080276,KC-135R Stratotanker,239,456,-128,False,mlat
c87f01,2026-06-20 01:14:10.244296,BOE7572,NZ7572,6503,1500,-43.54216,172.470718,C-32 AIR FORCE TWO,40,117,-576,False,adsb_icao
ae07ef,2026-06-20 01:14:10.244300,RCH348,96-0005,3307,26625,23.6,56.1,C-17A Globemaster,15,452,-3200,False,mode_s
ae058b,2026-06-20 01:14:10.244306,UNK C/S,57-1514,6143,Unavailable,25.4,51.3,KC-135R Stratotanker,284,460,,False,mode_s
ae1464,2026-06-20 01:14:10.244311,MOOSE91,06-6166,0745,Unavailable,25.4,51.3,C-17A Globemaster,,,,False,mode_s
