hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae4d69,2026-06-18 01:53:27.129409,UNK C/S,10-0216,Unavailable,9425,61.167446,-149.613708,C-17A Globemaster,320,235,-606,False,mlat
ae2fa7,2026-06-18 01:53:27.129441,RCH125,08-8195,3241,21875,39.350452,-122.082344,C-17A Globemaster,350,413,1193,False,mlat
ae07e9,2026-06-18 01:53:27.129448,SOUND29,95-0106,4725,8675,47.102329,-121.867104,C-17A Globemaster,278,282,-507,False,mlat
aedab0,2026-06-18 01:53:27.129463,SNAP37,19-46112,7261,35000,35.948402,-108.201164,KC-46A Pegasus,84,467,0,False,mlat
ae07ce,2026-06-18 01:53:27.129469,RCH5010,89-1190,6540,36025,36.694057,-100.557091,C-17A Globemaster,283,467,-63,False,mlat
ae0507,2026-06-18 01:53:27.129491,UNK C/S,61-0323,2413,37000,42.522079,-89.852814,KC-135R Stratotanker,78,581,0,False,mlat
ae1242,2026-06-18 01:53:27.129502,RCH126,04-4137,1632,8475,30.639498,-86.21312,C-17A Globemaster,299,351,1107,False,mlat
ae0443,2026-06-18 01:53:27.129520,UNK C/S,00-9001,1007,15625,39.482178,-74.671242,C-32 AIR FORCE TWO,215,363,2402,False,mlat
ae07f6,2026-06-18 01:53:27.129526,RCH193,97-0044,2170,4525,44.969719,-69.357811,C-17A Globemaster,89,299,-1715,False,mlat
ae0816,2026-06-18 01:53:27.129531,RCH788,00-0180,2232,31000,54.920376,-4.912748,C-17A Globemaster,142,477,0,False,mlat
ae080b,2026-06-18 01:53:27.129537,RCH4177,99-0165,2503,30000,55.257042,-2.67825,C-17A Globemaster,302,417,-64,False,adsb_icao
ae04fb,2026-06-18 01:53:27.129542,UNK C/S,57-2605,6401,24000,51.851154,-1.368691,KC-135R Stratotanker,232,372,128,False,mlat
ae04fe,2026-06-18 01:53:27.129546,UNK C/S,58-0100,6402,24025,52.043961,-0.998029,KC-135R Stratotanker,232,372,64,False,adsb_icao
adff0c,2026-06-18 01:53:27.129549,UNK C/S,60-0335,6403,24000,52.281376,-0.35117,KC-135R Stratotanker,236,398,-320,False,adsb_icao
ae1467,2026-06-18 01:53:27.129553,RCH3276,07-7169,2513,35975,52.915871,1.738445,C-17A Globemaster,285,375,50,False,mlat
adfeb6,2026-06-18 01:53:27.129585,VICK99,75-0125,5750,34025,45.730682,4.568802,E-4B Nightwatch,282,474,,False,adsb_icao
ae146f,2026-06-18 01:53:27.129594,MOOSE33,07-7177,7662,31000,48.264801,17.970863,C-17A Globemaster,131,495,0,False,mlat
ae1463,2026-06-18 01:53:27.129600,MOOSE36,06-6165,1167,38000,48.053791,19.42421,C-17A Globemaster,315,385,75,False,mlat
477ff1,2026-06-18 01:53:27.129606,BRK35,01,1270,29550,43.317463,24.262587,C-17A Globemaster,56,434,-960,False,adsb_icao
ae0808,2026-06-18 01:53:27.129613,RCH724,99-0062,7437,31000,35.870781,26.591473,C-17A Globemaster,162,440,-32,False,adsb_icao
ae4f13,2026-06-18 01:53:27.129622,RCH140,10-0219,7036,12950,26.559494,128.168472,C-17A Globemaster,50,406,1376,False,adsb_icao
ae013e,2026-06-18 01:53:27.129635,UNK C/S,63-7981,5341,19000,32.0,33.7,KC-135R Stratotanker,135,406,32,False,mode_s
ae05a4,2026-06-18 01:53:27.129641,UNK C/S,62-3500,5345,175,32.5,33.1,KC-135R Stratotanker,,,,False,mode_s
ae07ed,2026-06-18 01:53:27.129645,SOUND39,96-0003,4172,33000,50.4,-124.5,C-17A Globemaster,,,,False,mode_s
ae5f9a,2026-06-18 01:53:27.129650,UNK C/S,18-46047,7022,24000,28.2,49.3,KC-46A Pegasus,,,,False,mode_s
ae05a9,2026-06-18 01:53:27.129653,UNK C/S,63-8015,Unavailable,2850,64.5,-148.2,KC-135R Stratotanker,,,,False,mode_s
ae05a0,2026-06-18 01:53:27.129657,UNK C/S,61-0298,0146,18000,23.7,55.5,KC-135R Stratotanker,,,,False,mode_s
ae013b,2026-06-18 01:53:27.129662,UNK C/S,57-1435,1725,26975,24.0,55.1,KC-135R Stratotanker,70,364,0,False,mode_s
ae1457,2026-06-18 01:53:27.129665,UNK C/S,05-5153,Unavailable,1150,22.0,-157.3,C-17A Globemaster,,,,False,mode_s
4d03c6,2026-06-18 01:53:27.129670,NATO21,LX-N90448,4350,31050,44.0,25.8,E-3G AWACS,347,368,-192,False,mode_s
ae04ed,2026-06-18 01:53:27.129675,UNK C/S,63-8035,6017,23000,24.2,55.1,KC-135R Stratotanker,34,370,32,False,mode_s
ae146e,2026-06-18 01:53:27.129679,MOOSE34,07-7176,3272,34000,31.2,33.2,C-17A Globemaster,,,,False,mode_s
ae07e4,2026-06-18 01:53:27.129683,RCH433,94-0070,1733,8875,26.8,51.4,C-17A Globemaster,,,,False,mode_s
ae2fb0,2026-06-18 01:53:27.129688,UNK C/S,08-8204,Unavailable,1625,31.6,-83.8,C-17A Globemaster,,,,False,mode_s
ae4d69,2026-06-18 01:54:27.577257,UNK C/S,10-0216,Unavailable,7725,61.216091,-149.667969,C-17A Globemaster,357,223,-1966,False,mlat
ae2fa7,2026-06-18 01:54:27.577281,RCH125,08-8195,3241,23050,39.459118,-122.103951,C-17A Globemaster,350,419,1238,False,mlat
ae07e9,2026-06-18 01:54:27.577287,SOUND29,95-0106,4725,8150,47.107063,-121.978653,C-17A Globemaster,273,259,-538,False,mlat
aedab0,2026-06-18 01:54:27.577304,SNAP37,19-46112,7261,35000,35.958946,-108.057411,KC-46A Pegasus,89,468,75,False,mlat
ae07ce,2026-06-18 01:54:27.577311,RCH5010,89-1190,6540,36025,36.706215,-100.684486,C-17A Globemaster,281,403,-71,False,mlat
ae0507,2026-06-18 01:54:27.577335,UNK C/S,61-0323,2413,37000,42.557438,-89.629128,KC-135R Stratotanker,79,591,0,False,mlat
ae1242,2026-06-18 01:54:27.577348,RCH126,04-4137,1632,9625,30.677197,-86.299698,C-17A Globemaster,297,288,1135,False,mlat
ae0443,2026-06-18 01:54:27.577369,UNK C/S,00-9001,1007,17725,39.40062,-74.735878,C-32 AIR FORCE TWO,210,360,1782,False,mlat
ae07f6,2026-06-18 01:54:27.577376,RCH193,97-0044,2170,3150,44.973877,-69.236359,C-17A Globemaster,90,292,-1168,False,mlat
ae0816,2026-06-18 01:54:27.577383,RCH788,00-0180,2232,31000,54.814686,-4.763373,C-17A Globemaster,141,465,0,False,mlat
ae080b,2026-06-18 01:54:27.577389,RCH4177,99-0165,2503,30000,55.319698,-2.850952,C-17A Globemaster,302,420,-64,False,adsb_icao
ae04fb,2026-06-18 01:54:27.577396,UNK C/S,57-2605,6401,24000,51.793438,-1.502347,KC-135R Stratotanker,235,356,0,False,mlat
ae04fe,2026-06-18 01:54:27.577401,UNK C/S,58-0100,6402,24025,51.967964,-1.156411,KC-135R Stratotanker,231,372,-96,False,mlat
adff0c,2026-06-18 01:54:27.577405,UNK C/S,60-0335,6403,23975,52.207485,-0.526714,KC-135R Stratotanker,235,392,-96,False,mlat
ae1467,2026-06-18 01:54:27.577410,RCH3276,07-7169,2513,35975,52.94083,1.569582,C-17A Globemaster,287,392,0,False,mlat
adfeb6,2026-06-18 01:54:27.577415,VICK99,75-0125,5750,34025,45.758846,4.384712,E-4B Nightwatch,282,475,,False,adsb_icao
ae146f,2026-06-18 01:54:27.577421,MOOSE33,07-7177,7662,31000,48.168331,18.13418,C-17A Globemaster,133,482,0,False,mlat
ae1463,2026-06-18 01:54:27.577425,MOOSE36,06-6165,1167,38000,48.125195,19.295851,C-17A Globemaster,304,414,0,False,mlat
477ff1,2026-06-18 01:54:27.577429,BRK35,01,1270,28575,43.385101,24.400766,C-17A Globemaster,56,439,-1024,False,adsb_icao
ae0808,2026-06-18 01:54:27.577434,RCH724,99-0062,7437,31000,35.752911,26.638046,C-17A Globemaster,162,439,0,False,adsb_icao
ae4f13,2026-06-18 01:54:27.577442,RCH140,10-0219,7036,14475,26.636307,128.262375,C-17A Globemaster,46,414,1600,False,adsb_icao
ae013e,2026-06-18 01:54:27.577453,UNK C/S,63-7981,5341,19000,31.9,33.5,KC-135R Stratotanker,135,410,0,False,mode_s
ae05a4,2026-06-18 01:54:27.577459,UNK C/S,62-3500,5345,175,33.2,32.9,KC-135R Stratotanker,,,,False,mode_s
ae07ed,2026-06-18 01:54:27.577464,SOUND39,96-0003,4172,33000,49.9,-124.5,C-17A Globemaster,,,,False,mode_s
ae5f9a,2026-06-18 01:54:27.577468,UNK C/S,18-46047,7022,24025,28.2,49.3,KC-46A Pegasus,,,,False,mode_s
ae05a9,2026-06-18 01:54:27.577472,UNK C/S,63-8015,Unavailable,3800,64.5,-147.5,KC-135R Stratotanker,,,,False,mode_s
ae05a0,2026-06-18 01:54:27.577476,UNK C/S,61-0298,0146,19900,24.3,55.5,KC-135R Stratotanker,,,,False,mode_s
ae013b,2026-06-18 01:54:27.577481,UNK C/S,57-1435,1725,27000,24.1,55.1,KC-135R Stratotanker,21,358,0,False,mode_s
ae1457,2026-06-18 01:54:27.577485,UNK C/S,05-5153,Unavailable,875,22.0,-157.3,C-17A Globemaster,,,,False,mode_s
4d03c6,2026-06-18 01:54:27.577490,NATO21,LX-N90448,4350,31075,44.0,25.7,E-3G AWACS,322,364,-64,False,mode_s
ae04ed,2026-06-18 01:54:27.577500,UNK C/S,63-8035,6017,23000,24.1,54.8,KC-135R Stratotanker,347,342,-64,False,mode_s
ae146e,2026-06-18 01:54:27.577505,MOOSE34,07-7176,3272,34000,31.5,33.2,C-17A Globemaster,,,,False,mode_s
ae07e4,2026-06-18 01:54:27.577509,RCH433,94-0070,1733,7975,26.8,51.4,C-17A Globemaster,,,,False,mode_s
ae2fb0,2026-06-18 01:54:27.577515,UNK C/S,08-8204,Unavailable,1600,32.1,-83.9,C-17A Globemaster,,,,False,mode_s
ae4d69,2026-06-18 01:55:27.943853,UNK C/S,10-0216,Unavailable,5825,61.276489,-149.662857,C-17A Globemaster,4,207,-2003,False,mlat
ae07ed,2026-06-18 01:55:27.943872,SOUND39,96-0003,4172,33000,50.677299,-127.125099,C-17A Globemaster,138,526,8,False,other
ae2fa7,2026-06-18 01:55:27.943881,RCH125,08-8195,3241,23950,39.574554,-122.128036,C-17A Globemaster,350,428,909,False,mlat
ae07e9,2026-06-18 01:55:27.943886,SOUND29,95-0106,4725,7575,47.060921,-122.069794,C-17A Globemaster,231,268,-736,False,mlat
aedab0,2026-06-18 01:55:27.943900,SNAP37,19-46112,7261,35000,35.979458,-107.876541,KC-46A Pegasus,80,470,0,False,mlat
ae07ce,2026-06-18 01:55:27.943908,RCH5010,89-1190,6540,36025,36.735756,-100.888779,C-17A Globemaster,276,430,0,False,mlat
ae0507,2026-06-18 01:55:27.943929,UNK C/S,61-0323,2413,37000,42.589619,-89.419136,KC-135R Stratotanker,78,604,0,False,mlat
ae1242,2026-06-18 01:55:27.943940,RCH126,04-4137,1632,10425,30.713661,-86.394402,C-17A Globemaster,294,322,573,False,mlat
ae0443,2026-06-18 01:55:27.943959,UNK C/S,00-9001,1007,19700,39.313496,-74.806503,C-32 AIR FORCE TWO,213,375,1970,False,mlat
ae07f6,2026-06-18 01:55:27.943966,RCH193,97-0044,2170,3075,44.985481,-69.137993,C-17A Globemaster,82,234,0,False,mlat
ae0816,2026-06-18 01:55:27.943973,RCH788,00-0180,2232,31000,54.716171,-4.623458,C-17A Globemaster,141,466,0,False,mlat
ae080b,2026-06-18 01:55:27.943978,RCH4177,99-0165,2503,30000,55.382904,-3.026168,C-17A Globemaster,302,418,-96,False,adsb_icao
ae04fb,2026-06-18 01:55:27.943984,UNK C/S,57-2605,6401,24000,51.73167,-1.625657,KC-135R Stratotanker,222,352,0,False,mlat
ae04fe,2026-06-18 01:55:27.943988,UNK C/S,58-0100,6402,24025,51.901134,-1.293369,KC-135R Stratotanker,231,372,32,False,mlat
adff0c,2026-06-18 01:55:27.943993,UNK C/S,60-0335,6403,23975,52.142372,-0.68439,KC-135R Stratotanker,235,392,-32,False,mlat
ae1467,2026-06-18 01:55:27.943997,RCH3276,07-7169,2513,36000,52.965302,1.395908,C-17A Globemaster,279,388,0,False,mlat
adfeb6,2026-06-18 01:55:27.944002,VICK99,75-0125,5750,34025,45.787106,4.197395,E-4B Nightwatch,282,478,,False,adsb_icao
ae146f,2026-06-18 01:55:27.944007,MOOSE33,07-7177,7662,31000,48.074257,18.291182,C-17A Globemaster,132,479,0,False,mlat
ae1463,2026-06-18 01:55:27.944012,MOOSE36,06-6165,1167,38000,48.190205,19.161524,C-17A Globemaster,304,407,4,False,mlat
477ff1,2026-06-18 01:55:27.944017,BRK35,01,1270,27575,43.454819,24.543713,C-17A Globemaster,56,446,-960,False,adsb_icao
ae0808,2026-06-18 01:55:27.944021,RCH724,99-0062,7437,31000,35.635437,26.684475,C-17A Globemaster,162,439,0,False,adsb_icao
4d03c6,2026-06-18 01:55:27.944026,NATO21,LX-N90448,4350,31025,44.943859,28.654922,E-3G AWACS,298,364,-64,False,mlat
ae05a0,2026-06-18 01:55:27.944030,UNK C/S,61-0298,0146,22075,24.996069,56.407524,KC-135R Stratotanker,,,1617,False,mlat
ae4f13,2026-06-18 01:55:27.944037,RCH140,10-0219,7036,15850,26.717606,128.359909,C-17A Globemaster,47,425,1280,False,adsb_icao
ae013e,2026-06-18 01:55:27.944046,UNK C/S,63-7981,5341,19025,31.5,34.0,KC-135R Stratotanker,135,416,0,False,mode_s
ae05a9,2026-06-18 01:55:27.944053,UNK C/S,63-8015,Unavailable,3750,64.5,-147.5,KC-135R Stratotanker,,,,False,mode_s
ae04ed,2026-06-18 01:55:27.944058,UNK C/S,63-8035,6017,23000,24.3,55.0,KC-135R Stratotanker,304,328,-32,False,mode_s
ae1457,2026-06-18 01:55:27.944062,UNK C/S,05-5153,Unavailable,900,22.1,-157.2,C-17A Globemaster,,,,False,mode_s
ae146e,2026-06-18 01:55:27.944067,MOOSE34,07-7176,3272,34000,32.3,31.2,C-17A Globemaster,,,,False,mode_s
ae05a4,2026-06-18 01:55:27.944075,UNK C/S,62-3500,5345,175,32.1,33.5,KC-135R Stratotanker,,,,False,mode_s
ae5f9a,2026-06-18 01:55:27.944080,UNK C/S,18-46047,7022,24000,28.2,49.3,KC-46A Pegasus,,,,False,mode_s
ae013b,2026-06-18 01:55:27.944084,UNK C/S,57-1435,1725,27000,24.3,54.7,KC-135R Stratotanker,332,356,0,False,mode_s
ae07e4,2026-06-18 01:55:27.944089,RCH433,94-0070,1733,7075,26.8,51.4,C-17A Globemaster,,,,False,mode_s
ae2fb0,2026-06-18 01:55:27.944093,UNK C/S,08-8204,Unavailable,1600,32.4,-84.3,C-17A Globemaster,,,,False,mode_s
ae4d69,2026-06-18 01:56:28.230040,UNK C/S,10-0216,Unavailable,4650,61.335129,-149.656616,C-17A Globemaster,3,213,-244,False,mlat
ae07ed,2026-06-18 01:56:28.230059,SOUND39,96-0003,4172,33000,50.5812,-126.990601,C-17A Globemaster,137,516,22,False,other
ae07e9,2026-06-18 01:56:28.230067,SOUND29,95-0106,4725,6775,47.011364,-122.16436,C-17A Globemaster,233,277,-808,False,mlat
