hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae0804,2026-08-14 01:05:00.107289,RCH696,99-0058,7147,30000,38.778435,-80.370117,C-17A Globemaster,249,433,,False,adsb_icao
ae07cf,2026-08-14 01:05:00.107302,RCH405,89-1191,7047,30000,41.887699,-71.970375,C-17A Globemaster,212,440,0,False,mlat
33fe7d,2026-08-14 01:05:00.107311,IAM1437,MM62227,6662,35000,17.941406,-24.164091,KC-46A Pegasus,30,461,,False,adsb_icao
ae49c3,2026-08-14 01:05:00.107316,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
ae0813,2026-08-14 01:05:00.107324,RCH312,00-0177,1142,9900,49.731842,7.065042,C-17A Globemaster,176,300,-514,False,mlat
06a256,2026-08-14 01:05:00.107329,LHOB282,A7-MAE,4311,33000,35.67746,22.521973,C-17A Globemaster,115,479,,False,adsb_icao
ae146f,2026-08-14 01:05:00.107335,MOOSE59,07-7177,0762,34000,38.607155,24.875357,C-17A Globemaster,347,446,1,False,mlat
ae04dc,2026-08-14 01:05:00.107340,UNK C/S,57-1461,3423,19000,30.89238,35.488586,KC-135R Stratotanker,86,490,0,False,mlat
ae068e,2026-08-14 01:05:00.107344,UNK C/S,62-3529,3416,21025,31.111361,36.201736,KC-135R Stratotanker,262,412,0,False,mlat
ae04eb,2026-08-14 01:05:00.107354,UNK C/S,61-0311,3561,24975,48.1,-112.5,KC-135R Stratotanker,,,,False,mode_s
ae144e,2026-08-14 01:05:00.107359,SLAM91,05-5144,1623,625,40.1,-74.8,C-17A Globemaster,,,,False,mode_s
ae5bc2,2026-08-14 01:05:00.107365,KROME11,16-46017,Unavailable,12000,46.6,-113.9,KC-46A Pegasus,,,,False,mode_s
aefa7d,2026-08-14 01:05:00.107369,UNK C/S,,Unavailable,Unavailable,27.1,-96.5,E-6B TACAMO,,,,False,mode_s
ae056b,2026-08-14 01:05:00.107374,RCH2036,86-0014,Unavailable,6450,31.6,-106.3,C-5M Galaxy,,,,False,mode_s
ae0593,2026-08-14 01:05:00.107379,UNK C/S,58-0113,3576,26000,49.3,-112.8,KC-135R Stratotanker,,,,False,mode_s
c2afc7,2026-08-14 01:06:00.309902,CFC3603,177702,2444,1475,21.325241,-158.028244,C-17A Globemaster,90,140,-704,False,adsb_icao
ae49c5,2026-08-14 01:06:00.309921,UNK C/S,09-9209,2231,9950,21.324656,-157.811081,C-17A Globemaster,241,340,0,False,mlat
ae0483,2026-08-14 01:06:00.309930,UNK C/S,60-0339,4604,4075,64.984985,-147.376984,KC-135R Stratotanker,20,245,5,False,mlat
afde25,2026-08-14 01:06:00.309936,UNK C/S,,0642,24000,39.389919,-123.147476,E-6B TACAMO,236,415,0,False,mlat
ae117c,2026-08-14 01:06:00.309941,UNK C/S,02-1110,4620,2200,47.073067,-122.475693,C-17A Globemaster,360,178,-1023,False,mlat
