hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae4f12,2026-07-30 01:14:04.525634,RCH584,10-0218,1310,11525,47.503536,-122.223648,C-17A Globemaster,223,283,-1434,False,mlat
ae035c,2026-07-30 01:14:04.525665,UNK C/S,58-0062,0436,5950,47.762997,-117.707504,KC-135R Stratotanker,352,245,-445,False,mlat
ae01cb,2026-07-30 01:14:04.525685,TOPCT35,62-4135,4553,30000,45.363571,-101.019691,RC-135 Rivet Joint,174,383,0,False,adsb_icao
ae080e,2026-07-30 01:14:04.525693,RCH5056,99-0168,2637,27825,41.356453,-99.043304,C-17A Globemaster,298,425,898,False,mlat
aed9a4,2026-07-30 01:14:04.525710,UNK C/S,,1614,2500,41.063053,-95.899933,E-6B TACAMO,240,180,78,False,mlat
ae07ea,2026-07-30 01:14:04.525734,RCH797,95-0107,2246,34000,7.991995,-84.989426,C-17A Globemaster,307,465,,False,adsb_icao
adfeb5,2026-07-30 01:14:04.525739,GORDO33,74-0787,3652,25000,39.571404,-84.972351,E-4B Nightwatch,103,535,0,False,adsb_icao
ae038c,2026-07-30 01:14:04.525744,UNK C/S,62-3573,7122,23975,31.863844,-83.357872,KC-135R Stratotanker,68,385,-1143,False,mlat
ae0654,2026-07-30 01:14:04.525751,UNK C/S,58-0071,6637,27100,31.545794,-82.002373,KC-135R Stratotanker,308,386,-3286,False,mlat
ae01d3,2026-07-30 01:14:04.525761,COBRA29,62-4129,7001,32000,41.018806,-79.207932,RC-135 Rivet Joint,252,481,0,False,adsb_icao
ae07ab,2026-07-30 01:14:04.525779,RCH433,60-0331,0713,38000,48.680374,-66.392624,KC-135R Stratotanker,247,407,-64,False,adsb_icao
ae04c4,2026-07-30 01:14:04.525785,UNK C/S,59-1475,0254,25000,50.267223,-4.620241,KC-135R Stratotanker,81,514,0,False,mlat
ae10bf,2026-07-30 01:14:04.525795,RCH313,01-0196,0641,36000,47.608658,5.630562,C-17A Globemaster,27,466,-160,False,adsb_icao
ae10bb,2026-07-30 01:14:04.525800,MOOSE66,01-0192,1140,20350,49.914776,9.12588,C-17A Globemaster,273,404,-1511,False,mlat
ae4f16,2026-07-30 01:14:04.525806,RCH748,10-0222,7423,33050,37.988495,25.803368,C-17A Globemaster,157,502,0,False,mlat
ae041f,2026-07-30 01:14:04.525812,UNK C/S,57-1488,5335,12675,31.861399,35.322525,KC-135R Stratotanker,305,318,-4000,False,mlat
ae0500,2026-07-30 01:14:04.525817,UNK C/S,59-1495,3432,19000,31.616619,36.97728,KC-135R Stratotanker,20,432,0,False,mlat
ae145b,2026-07-30 01:14:04.525825,RCH679,06-6157,0431,35000,33.868603,130.849136,C-17A Globemaster,47,443,0,False,mlat
ae07ce,2026-07-30 01:14:04.525840,RCH466,89-1190,7404,35000,35.9,28.0,C-17A Globemaster,,,,False,mode_s
ae11e7,2026-07-30 01:14:04.525845,UNK C/S,79-0001,5405,23975,28.6,48.0,E-3G AWACS,,,,False,mode_s
ae0384,2026-07-30 01:14:04.525849,UNK C/S,59-1458,Unavailable,30000,24.3,-147.9,KC-135R Stratotanker,,,,False,mode_s
afea51,2026-07-30 01:14:04.525853,UNK C/S,,Unavailable,28000,36.1,-102.4,E-6B TACAMO,,,,False,mode_s
ae4f12,2026-07-30 01:15:04.832624,RCH584,10-0218,1310,10100,47.450146,-122.294991,C-17A Globemaster,224,266,-1425,False,mlat
ae035c,2026-07-30 01:15:04.832654,UNK C/S,58-0062,0436,5975,47.80777,-117.638046,KC-135R Stratotanker,89,310,47,False,mlat
ae01cb,2026-07-30 01:15:04.832676,TOPCT35,62-4135,4553,29975,45.256531,-101.005028,RC-135 Rivet Joint,174,380,-64,False,adsb_icao
aed9a4,2026-07-30 01:15:04.832704,UNK C/S,,1614,2475,41.093121,-95.960068,E-6B TACAMO,318,207,14,False,mlat
ae07ea,2026-07-30 01:15:04.832728,RCH797,95-0107,2246,34000,8.081909,-85.081055,C-17A Globemaster,315,465,,False,adsb_icao
adfeb5,2026-07-30 01:15:04.832736,GORDO33,74-0787,3652,25000,39.536819,-84.782928,E-4B Nightwatch,103,535,64,False,adsb_icao
ae038c,2026-07-30 01:15:04.832742,UNK C/S,62-3573,7122,24000,31.924217,-83.253288,KC-135R Stratotanker,35,378,76,False,mlat
ae0654,2026-07-30 01:15:04.832748,UNK C/S,58-0071,6637,24750,31.612431,-82.099007,KC-135R Stratotanker,311,380,-2315,False,mlat
ae01d3,2026-07-30 01:15:04.832757,COBRA29,62-4129,7001,32000,40.978729,-79.377502,RC-135 Rivet Joint,252,485,0,False,adsb_icao
ae07ab,2026-07-30 01:15:04.832777,RCH433,60-0331,0713,38000,48.637264,-66.551201,KC-135R Stratotanker,247,407,0,False,adsb_icao
ae04c4,2026-07-30 01:15:04.832783,UNK C/S,59-1475,0254,25000,50.288265,-4.399697,KC-135R Stratotanker,81,514,0,False,mlat
ae10bf,2026-07-30 01:15:04.832793,RCH313,01-0196,0641,36000,47.724609,5.719345,C-17A Globemaster,27,468,-64,False,adsb_icao
ae10bb,2026-07-30 01:15:04.832799,MOOSE66,01-0192,1140,20000,49.920452,8.944494,C-17A Globemaster,272,398,0,False,mlat
ae041f,2026-07-30 01:15:04.832808,UNK C/S,57-1488,5335,10750,31.908918,35.286182,KC-135R Stratotanker,1,302,-768,False,mlat
ae0500,2026-07-30 01:15:04.832812,UNK C/S,59-1495,3432,18975,31.641354,37.030819,KC-135R Stratotanker,20,428,0,False,mlat
ae145b,2026-07-30 01:15:04.832823,RCH679,06-6157,0431,35000,33.944077,130.953278,C-17A Globemaster,41,439,0,False,mlat
ae07e3,2026-07-30 01:15:04.832832,DEYOY11,94-0069,Unavailable,Unavailable,38.8,-77.8,C-17A Globemaster,,,,False,mode_s
ae080e,2026-07-30 01:15:04.832843,RCH5056,99-0168,2637,28450,41.9,-97.3,C-17A Globemaster,,,,False,mode_s
ae07ce,2026-07-30 01:15:04.832849,RCH466,89-1190,7404,Unavailable,35.7,28.6,C-17A Globemaster,,,,False,mode_s
ae11e7,2026-07-30 01:15:04.832856,UNK C/S,79-0001,5405,23975,28.7,48.0,E-3G AWACS,,,,False,mode_s
ae0384,2026-07-30 01:15:04.832859,UNK C/S,59-1458,Unavailable,30000,31.5,-124.6,KC-135R Stratotanker,,,,False,mode_s
afea51,2026-07-30 01:15:04.832865,UNK C/S,,Unavailable,28000,36.5,-102.4,E-6B TACAMO,,,,False,mode_s
ae4f16,2026-07-30 01:15:04.832871,RCH748,10-0222,7423,33175,38.0,25.2,C-17A Globemaster,,,,False,mode_s
ae4f12,2026-07-30 01:16:05.227368,RCH584,10-0218,1310,8725,47.394985,-122.369286,C-17A Globemaster,219,252,-1373,False,mlat
ae035c,2026-07-30 01:16:05.227399,UNK C/S,58-0062,0436,5975,47.813637,-117.535706,KC-135R Stratotanker,86,244,67,False,mlat
